repo,pr_a,pr_b,agent_a,agent_b,title_a,title_b,merged_a,merged_b,pool,n_shared_files
ElectNewt/Distribt,47,48,OpenAI_Codex,Copilot,Implement outbox pattern for products,Implement outbox pattern for reliable event publishing in Products microservice,False,False,dup_title,6
OpenSprinkler/OpenSprinkler-App,263,264,Copilot,OpenAI_Codex,Fix localStorage namespacing for reverse proxy deployments,Fix localStorage namespace for reverse proxy,False,True,dup_title,4
Rello/analytics,517,519,OpenAI_Codex,Copilot,Enable grouping for all item types,Fix NewGroupPlaceholder CSS overlap and enable grouping for all item types,True,False,dup_title,1
berachain/beacon-kit,2840,2841,Cursor,OpenAI_Codex,feat(node-api): Create proof endpoint for validator balance,feat(node-api): [codex] Add validator balance proof endpoint,False,False,dup_title,6
liveblocks/liveblocks,2522,2523,Devin,Cursor,Fix typos in react-ui documentation,Fix typos in react-ui documentation,False,False,dup_title,3
liveblocks/liveblocks,2522,2525,Devin,Cursor,Fix typos in react-ui documentation,Fix typos in react-ui documentation,False,False,dup_title,1
ryokun6/ryos,200,204,Cursor,OpenAI_Codex,Fix iPod shuffle navigation logic,Fix iPod shuffle navigation,False,False,dup_title,1
AgentOps-AI/agentops,1064,1065,Devin,OpenAI_Codex,feat(docs): add LlamaIndex integration documentation,Fix xAI icon path,True,True,both_merged_shared_file,1
EduMIPS64/edumips64,1364,1378,Copilot,OpenAI_Codex,Add Cache simulator documentation to the manual,Fix isHexNumber logic,True,True,both_merged_shared_file,2
EduMIPS64/edumips64,1364,1379,Copilot,OpenAI_Codex,Add Cache simulator documentation to the manual,Fix typo and comment,True,True,both_merged_shared_file,2
EduMIPS64/edumips64,1364,1380,Copilot,OpenAI_Codex,Add Cache simulator documentation to the manual,Add FPU multiplication unit tests,True,True,both_merged_shared_file,3
PRQL/prql,5286,5287,Claude_Code,OpenAI_Codex,chore: Upgrade GitHub Actions to ubuntu-24.04,docs: fix direction of compilation in example,True,True,both_merged_shared_file,35
PRQL/prql,5287,5289,OpenAI_Codex,Claude_Code,docs: fix direction of compilation in example,"fix: Correct typo ""trough"" to ""through""",True,True,both_merged_shared_file,3
Rello/analytics,517,518,OpenAI_Codex,Copilot,Enable grouping for all item types,Add threshold lines to charts using Chart.js annotation plugin,True,True,both_merged_shared_file,7
Significant-Gravitas/AutoGPT,9965,10340,OpenAI_Codex,Claude_Code,feat(blocks/gmail): add Gmail thread blocks,feat(backend): Integrate GCS file storage with automatic expiration for Agent File Input,True,True,both_merged_shared_file,217
Skyscanner/turbolift,173,176,OpenAI_Codex,Copilot,Add tests for validateFlags,Fix Go test function naming convention violations,True,True,both_merged_shared_file,2
